#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
PBK	MAD2L1	982475	981786	ENSP00000301905	ENSP00000296509	0.000	0.000	0.000	0.000	0.934	0.000	0.000	0.000	0.934
CDCA8	CCNA2	984132	980270	ENSP00000316121	ENSP00000274026	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
KIF20A	CEP55	993457	990371	ENSP00000378356	ENSP00000360540	0.000	0.000	0.000	0.000	0.921	0.000	0.000	0.000	0.921
CDC20	NDC80	983275	978749	ENSP00000308450	ENSP00000261597	0.000	0.000	0.000	0.000	0.910	0.000	0.000	0.000	0.910
TPX2	NDC80	982281	978749	ENSP00000300403	ENSP00000261597	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
KIF11	TTK	978609	976923	ENSP00000260731	ENSP00000230510	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
TOP2A	KIF11	997342	978609	ENSP00000411532	ENSP00000260731	0.000	0.000	0.000	0.000	0.904	0.000	0.000	0.000	0.904
MAD2L1	KIF11	981786	978609	ENSP00000296509	ENSP00000260731	0.000	0.000	0.000	0.000	0.939	0.000	0.000	0.000	0.939
CDC20	NUSAP1	983275	978567	ENSP00000308450	ENSP00000260359	0.000	0.000	0.000	0.000	0.907	0.000	0.000	0.000	0.907
MAD2L1	NCAPG	981786	977793	ENSP00000296509	ENSP00000251496	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
MKI67	CCNA2	989719	980270	ENSP00000357643	ENSP00000274026	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
FEN1	MAD2L1	982899	981786	ENSP00000305480	ENSP00000296509	0.000	0.000	0.000	0.000	0.931	0.000	0.000	0.000	0.931
CCNA2	NCAPG	980270	977793	ENSP00000274026	ENSP00000251496	0.000	0.000	0.000	0.000	0.914	0.000	0.000	0.000	0.914
